Title,Sample Code,Type,ID,Provider,Tags,License
13 Anderson Fire Behavior Fuel Models 2022 (FBFM13) LF v2.3.0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/LANDFIRE-FUEL,image_collection,projects/sat-io/open-datasets/landfire/fuel/FBFM13,"U.S. Department of Agriculture's (USDA) U.S. Forest Service (USFS), U.S. Department of the Interior's Geological Survey (USGS), and The Nature Conservancy","doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",custom
30m Global Annual Burned Area Maps (GABAM),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:fire-monitoring-analysis/GLOBAL-ANNUAL-BURNED-AREA-MAPS,image_collection,projects/sat-io/open-datasets/GABAM,Long Tengfei; Zhang Zhaoming; He Guojin,"Global Fire, burned area, GABAM, remote sensing, Earth Engine",Creative Commons Zero v1.0 Universal
40 Scott and Burgan Fire Behavior Fuel Models 2022 (FBFM40) LF v2.3.0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/LANDFIRE-FUEL,image_collection,projects/sat-io/open-datasets/landfire/fuel/FBFM40,"U.S. Department of Agriculture's (USDA) U.S. Forest Service (USFS), U.S. Department of the Interior's Geological Survey (USGS), and The Nature Conservancy","doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",custom
Aboveground carbon accumulation in global monoculture plantation forests,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/ABOVEGROUND-CARBON-GLOBAL-MONOCULTURE,table,projects/sat-io/open-datasets/global-monoculture-plantations,"Bukoski, Jacob et al 2022","Forests, Aboveground carbon stocks, Climate change, Reforestation, Plantations, Aboveground biomass",Creative Commons Attribution 4.0 International
ACES-Enhanced Rice Crop Maps for Bhutan (2016-2022),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/ACES-BHUTAN,image_collection,projects/servir-sco-assets/assets/Bhutan/Rice_Extent_Mapper/Predicted_Rice_Post_Processed_IC,"Mayer et al 2023, NASA SERVIR","agriculture, land use, land cover, Bhutan, rice",Creative Commons Attribution 4.0 International
Administrative area Gridded GDP & HDI,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:population-socioeconomics/GLOBAL-GDP-HDI,image,projects/sat-io/open-datasets/GRIDDED_HDI_GDP/admin_areas_GDP_HDI,"Kummu, Matti; Taka, Maija; Guillaume, Joseph H. A.","Development indicator, global spatial data, gridded data, Gross Domestic Product (GDP), Human Development Index (HDI), Purchasing Power Parity (PPP)",Creative Commons Zero v1.0 Universal
AgERA5 (ECMWF) dataset,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/weather-climate/AGERA5-DATASETS,image_collection,projects/climate-engine-pro/assets/ce-ag-era5/daily,Copernicus,"climate, reanalysis, near real-time, ECMWF, precipitation, temperature",custom
Alpha parameter for Mualem Van Genuchten Equation,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:soil-properties/HiHYDRO-SOIL-LAYERS,image_collection,projects/sat-io/open-datasets/HiHydroSoilv2_0/alpha,Future Water,"Global Hydrologic Soil Group, Hydrology, Hydrological, Soil, Hydraulic, Conductivity, Runoff, Run-off, Water, Water Cycle",custom
Annual Air Temperature Range Avg- Global Freshwater Variables,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-FRESHWATER-VARIABLES,image,projects/sat-io/open-datasets/global_freshwater_variables/annual_air_temperature_range_avg,"Domisch, S., Amatulli, G., and Jetz, W.","annual air temperature, EarthEnv, global freshwater",Creative Commons Attribution Non Commercial Share Alike 4.0 International
Annual Sum of precipitation- Global Freshwater Variables,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-FRESHWATER-VARIABLES,image,projects/sat-io/open-datasets/global_freshwater_variables/annual_sum_of_precipitation_avg,"Domisch, S., Amatulli, G., and Jetz, W.","annual sum of precipitation, EarthEnv, global freshwater",Creative Commons Attribution Non Commercial Share Alike 4.0 International
ANUSPLIN Gridded Climate Dataset Daily,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/ANUSPLIN-GRID,image_collection,projects/climate-engine-pro/assets/ce-anusplin-daily, Agriculture and Agri-Food Canada,"climate, reanalysis, near real-time, ECMWF, precipitation, temperature",Open Government Licence - Canada
